method,agieval_lsat_ar,arc_challenge,arc_easy,coqa,gsm8k,hellaswag,jeopardy,lambada_openai,mbpp,mmlu,piqa,social_iqa,squadv2,winogrande,average
olmo_3_1025_7b@step1468498,0.18695652173913044,0.5844709897610921,0.8531144781144782,0.8408553957162577,0.7285822592873389,0.7456681935869349,0.5029,0.4511934795264894,0.4954,0.6627620623393937,0.7921653971708379,0.5496417604912999,0.9296645264175251,0.7134964483030781,0.6454908223181326
olmo_hybrid_7b@step1447920,0.26521739130434785,0.6049488054607508,0.8611111111111112,0.6858226063682016,0.6929492039423806,0.732921728739295,0.5201,0.5651077042499515,0.4559999999999999,0.6903026311077083,0.8035908596300326,0.5010235414534289,0.9123024935626232,0.7355958958168903,0.644785283767623
apertus_70b@step600000,0.21304347826086956,0.6237201365187713,0.8665824915824916,0.7994857989777161,0.45489006823351025,0.8487353116908982,0.6938,0.49602173491170193,0.332125,0.6781680351080809,0.85310119695321,0.48004094165813715,0.8765155147976098,0.7971586424625099,0.6438134536539647
olmo_3_1025_7b@step1443814,0.1956521739130435,0.5930034129692833,0.8480639730639731,0.8578215092831415,0.7429871114480667,0.7454690300736905,0.5067,0.43372792548030276,0.48399999999999993,0.6508951389777893,0.794341675734494,0.4969293756397134,0.9188671961265313,0.712707182320442,0.6415118360736051
olmo_3_1125_32b@step300000,0.2217391304347826,0.613481228668942,0.8703703703703703,0.7905691709459676,0.5526914329037149,0.8052180840470026,0.6245,0.469241218707549,0.443,0.6588619777016497,0.808487486398259,0.46980552712384854,0.8747456835814711,0.7774269928966061,0.6414384502700116
olmo_3_1025_7b@step1466498,0.21739130434782608,0.5767918088737202,0.8522727272727273,0.8472986682016203,0.7012888551933283,0.7437761402111134,0.4972,0.4519697263729866,0.47,0.6542734298241482,0.7861806311207835,0.5327533265097236,0.9309724443221816,0.7174427782162589,0.6414008457476014
olmo_3_1025_7b@step1462498,0.1956521739130435,0.5853242320819113,0.8615319865319865,0.8436788068307145,0.7187263078089462,0.7389962158932484,0.4788,0.4579856394333398,0.4826,0.6437698918398408,0.7812840043525572,0.5337768679631525,0.9266993671340784,0.7166535122336227,0.640391357572603
smollm3_3b@step4720000,0.24782608695652175,0.5793515358361775,0.8388047138047138,0.791581541653273,0.6914329037149356,0.7621987651862179,0.5721,0.47059965068891907,0.501,0.6364850542716314,0.8008705114254625,0.46212896622313204,0.8506802093368528,0.7221783741120757,0.6376598795149937
olmo_hybrid_7b_ingredient1@step1419078,0.2565217391304348,0.590443686006826,0.8484848484848485,0.7645660933279214,0.6846095526914329,0.7178848834893448,0.4934,0.5769454686590336,0.39899999999999997,0.658327929096406,0.7910772578890098,0.49590583418628453,0.9023490377126852,0.7458563535911602,0.6375266203046707
olmo_hybrid_7b@step1438920,0.2391304347826087,0.5964163822525598,0.8526936026936027,0.7721494397930637,0.6588324488248674,0.7335192192790281,0.5001,0.5575392974966039,0.4366,0.6658114830935828,0.780739934711643,0.5127942681678608,0.8997032580323757,0.7158642462509865,0.6372781439556273
olmo_3_1025_7b@step1438814,0.20434782608695654,0.5784982935153583,0.8468013468013468,0.8593483561048851,0.7475360121304018,0.734017128062139,0.4923,0.4403260236755288,0.4522,0.6438954330902356,0.7850924918389554,0.5117707267144319,0.9196347443242228,0.6937647987371744,0.6363952272201168
apertus_70b@step500000,0.20434782608695654,0.6313993174061433,0.8653198653198653,0.7916740337929828,0.45034116755117515,0.8415654252141008,0.6846,0.45449252862410244,0.3213125,0.6670451492424346,0.8427638737758433,0.4887410440122825,0.8738700833655707,0.7782162588792423,0.6354063623764786
apertus_8b@step2627139,0.16956521739130434,0.6296928327645052,0.8699494949494949,0.8151190737747004,0.4799090219863533,0.8046205935072694,0.6365,0.49505142635358046,0.364875,0.6641986301196457,0.8226332970620239,0.4872057318321392,0.8907145655556792,0.7655880031570639,0.6354016348895541
olmo_hybrid_7b@step1452920,0.24782608695652175,0.6151877133105802,0.8632154882154882,0.45165724464046575,0.711144806671721,0.7424815773750248,0.5314,0.5804385794682709,0.46639999999999987,0.6931369383212753,0.808487486398259,0.4969293756397134,0.913844613485871,0.7419100236779794,0.6331471381543693
olmo_3_1125_32b@step200000,0.20434782608695654,0.6220136518771331,0.8741582491582491,0.8045100181485066,0.5125094768764216,0.801135232025493,0.6084,0.47195808267028916,0.411625,0.6510990229167651,0.808487486398259,0.44626407369498466,0.8734910165710285,0.7734806629834254,0.6331056999576793
olmo_hybrid_7b_ingredient2@step1424078,0.2608695652173913,0.5972696245733788,0.8497474747474747,0.6455021452532915,0.7028051554207733,0.7401911969727146,0.4434,0.5750048515427906,0.4236,0.6791041444654546,0.7992383025027203,0.4897645854657114,0.8996256408341726,0.7221783741120757,0.630592932936282
apertus_70b@step400000,0.21739130434782608,0.613481228668942,0.8619528619528619,0.8141938891841489,0.4116755117513268,0.839573790081657,0.677,0.46322530564719583,0.309,0.6579023136724789,0.8394994559303591,0.46980552712384854,0.8682273028152708,0.7805840568271507,0.6302508962859333
olmo_3_1025_7b@step1464498,0.1782608695652174,0.568259385665529,0.8480639730639731,0.8294864685390091,0.7081122062168309,0.7355108544114718,0.4756,0.4020958664855424,0.4584,0.6448572321243368,0.7856365614798694,0.5337768679631525,0.9208942658734349,0.7134964483030781,0.6287464999779603
